month,n_sales,med_xch,q25_xch,q75_xch,usd_per_xch,med_usd
2022-06,224,0.5,0.5,1.0,43.94,21.97
2022-07,6792,0.2,0.1,1.0,42.56,8.57
2022-08,5561,0.132,0.1,0.3,42.69,5.48
2022-09,4882,0.2,0.1,0.29,34.27,6.71
2022-10,4503,0.2,0.1,0.3,31.87,6.54
2022-11,2955,0.2,0.05,0.33,30.94,6.18
2022-12,4120,0.1,0.08,0.259,30.56,3.17
2023-01,6391,0.1,0.05,0.25,37.7,4.53
2023-02,6306,0.2,0.1,1.0,42.79,8.0
2023-03,2719,0.2,0.068,0.5,37.87,7.57
2023-04,1936,0.168,0.082,0.6,39.83,6.85
2023-05,6314,0.068,0.01,0.13,37.45,2.51
2023-06,3581,0.208,0.1,0.5,32.85,6.82
2023-07,2426,0.11,0.1,0.77,33.34,3.7
2023-08,3862,0.2,0.1,0.4,30.41,6.17
2023-09,2925,0.1,0.1,0.18,27.99,2.82
2023-10,1339,0.19,0.11,0.5,23.35,4.33
2023-11,2479,0.1,0.099,0.188,26.9,2.81
2023-12,2948,0.05,0.013,0.19,32.58,1.93
2024-01,4149,0.1,0.02,0.16,31.53,3.06
2024-02,2524,0.1,0.1,0.5,32.73,3.41
2024-03,2247,0.1,0.069,0.295,48.05,4.99
2024-04,1756,0.174,0.068,0.42,32.66,6.11
2024-05,8643,0.1,0.1,0.1,31.31,3.12
2024-06,2256,0.2,0.1,0.5,26.69,5.46
2024-07,2622,0.1,0.089,0.29,20.43,2.19
2024-08,1434,0.2,0.1,0.69,15.18,3.26
2024-09,1092,0.3,0.1,2.0,13.76,3.86
2024-10,879,0.2,0.1,1.5,15.31,3.09
2024-11,1900,0.33,0.1,1.0,15.17,6.11
2024-12,2624,0.1,0.1,0.2,27.72,3.28
2025-01,5166,0.2,0.075,0.25,23.32,4.71
2025-02,3141,0.2,0.2,0.5,13.28,3.02
2025-03,11157,0.2,0.1,0.2,13.0,2.2
2025-04,4800,0.2,0.056,0.4,11.13,2.22
2025-05,3062,0.333,0.2,1.0,12.52,4.36
2025-06,5561,0.2,0.18,0.5,10.21,2.09
2025-07,6686,0.2,0.12,0.42,10.39,2.27
2025-08,18760,0.1,0.09,0.2,9.79,0.98
2025-09,8035,0.16,0.07,0.33,9.58,1.48
2025-10,4083,0.2,0.075,1.0,7.11,1.37
2025-11,10791,0.2,0.1,0.2,6.43,1.29
2025-12,6222,0.033,0.02,0.1,4.91,0.16
2026-01,4551,0.1,0.1,0.25,4.22,0.42
2026-02,2958,0.211,0.1,0.5,2.8,0.61
2026-03,2729,0.251,0.1,1.6,2.75,0.69
2026-04,1276,1.0,0.2,5.0,2.34,2.4
2026-05,2765,0.5,0.2,1.0,2.56,1.36
