month,n,p10,p25,p50,p75,p90,p99
2022-01,701,13.5106,21.4227,33.9374,78.98,186.4512,1228.8977
2022-02,534,14.9097,22.5533,44.2804,82.52,395.125,1130.8669
2022-03,777,11.4899,21.9021,45.7953,71.3,269.1276,980.4485
2022-04,847,10.046,26.7846,35.3047,63.48,128.02,653.9962
2022-05,1127,9.0951,17.6104,35.82,55.04,189.0105,926.1044
2022-06,1543,13.3289,21.97,32.8015,45.1905,141.83,721.0184
2022-07,8538,4.099,4.247,16.768,44.04,199.0,862.0
2022-08,7905,0.4248,3.747,6.76,19.605,43.36,373.8788
2022-09,9376,0.0038,0.3562,3.5651,10.281,32.7302,173.4125
2022-10,15140,0.3332,0.6536,3.145,7.8625,25.5401,165.25
2022-11,12504,0.3249,0.6456,2.1498,6.5035,24.488,280.7716
2022-12,11036,0.5112,0.7847,3.163,9.117,31.52,282.695
2023-01,17786,0.4478,0.9076,3.0879,6.2582,45.38,328.5525
2023-02,13834,0.3467,0.8969,4.19,19.71,42.79,360.08
2023-03,15066,0.0,0.7318,1.3119,5.9943,35.2555,353.6
2023-04,9130,0.0392,0.1526,1.005,8.553,43.1569,460.0591
2023-05,13033,0.2763,0.4003,3.449,11.481,39.37,337.968
2023-06,24012,0.0,0.0,0.0645,3.357,28.9661,247.308
2023-07,13422,0.0621,0.1135,0.7677,3.7972,30.0328,276.7943
2023-08,16187,0.0324,0.076,1.0786,6.796,21.5543,276.2868
2023-09,12822,0.0088,0.0742,0.8414,3.777,24.2089,268.9
2023-10,19048,0.008,0.0292,0.1759,2.4761,13.636,134.3255
2023-11,18868,0.0433,0.1008,0.7354,2.674,13.015,167.2527
2023-12,10728,0.0393,0.2013,1.4399,6.372,30.2022,316.4258
2024-01,12469,0.1775,0.6758,3.024,6.5021,30.24,254.9924
2024-02,15054,0.0496,0.482,3.346,9.0553,34.32,232.0875
2024-03,15370,0.1197,0.4932,3.5926,12.0125,47.46,441.032
2024-04,14253,0.0046,0.163,2.2258,9.685,30.7872,248.2479
2024-05,22517,0.1623,1.3238,3.123,10.9485,45.962,340.4
2024-06,13687,0.167,1.599,4.5062,23.5924,74.1445,483.4
2024-07,12383,0.0014,0.2072,2.3436,14.9651,35.2566,413.776
2024-08,7398,0.0318,0.1457,1.5045,7.75,23.4221,154.6339
2024-09,6447,0.0665,0.2098,1.5812,9.1194,27.5596,144.4845
2024-10,9790,0.0388,0.3628,3.215,11.5878,31.0838,320.822
2024-11,14628,0.0783,1.2368,8.0098,31.1157,123.7847,607.676
2024-12,13836,0.1404,1.084,4.996,28.3393,102.78,666.5064
2025-01,16845,0.0813,1.1204,4.335,12.408,47.8189,446.616
2025-02,14907,0.3259,1.5124,6.2857,26.3433,90.1853,533.0729
2025-03,22506,0.2808,1.1945,2.6,13.8217,51.7681,383.017
2025-04,13895,0.0971,0.5913,2.216,10.94,34.71,284.7007
2025-05,18051,0.0118,1.18,5.008,15.5281,56.1402,532.3786
2025-06,29947,0.5548,1.8691,8.6313,24.0524,70.7764,514.6907
2025-07,27243,0.1057,1.12,3.9796,18.712,44.1853,353.3975
2025-08,38252,0.4019,0.8529,1.029,4.933,22.6651,254.9814
2025-09,29720,0.0867,0.5063,1.2238,4.935,18.7561,253.3963
2025-10,24794,0.0074,0.0258,0.7679,5.1046,26.5739,275.0287
2025-11,23063,0.0081,0.2021,1.2246,2.3462,12.0603,122.9592
2025-12,16850,0.0048,0.0136,0.1507,2.3533,5.522,80.1616
2026-01,24765,0.0046,0.1025,1.0634,5.0,10.1407,121.016
2026-02,19051,0.0031,0.0203,0.877,2.5411,10.0,96.8041
2026-03,26371,0.0026,0.0028,0.2528,1.4035,5.9249,55.8241
2026-04,24198,0.0025,0.0315,0.6931,2.413,10.7504,113.15
2026-05,22666,0.0069,0.2557,1.0094,3.393,15.5897,143.6683
